Page,Field Name PDF,Field Name Supabase,Field Type
15,user_revenue_weight,user_revenue_weight,Integer
15,user_wheelplan,user_wheelplan,String
15,user_date_of_last_v5c_issued,user_date_last_v5c_issued,String
15,user_registration_number,user_registration_number,String
15,user_month_of_manufacture,user_month_of_registration,String
15,user_year_of_manufacture,user_year_of_manufacture,Integer
15,user_tax_status,user_tax_status,String
15,user_tax_due_date,user_tax_due_date,String
15,user_vehicle_co2_emissions,user_co2_emissions,Integer
15,user_vehicle_engine_capacity,user_engine_capacity,Integer
15,user_type_of_approval,user_type_approval,String
15,user_marked_for_export,user_marked_for_export,Boolean
15,create_user_id#4,create_user_id,String
16,other_drivers_name#1,other_drivers_name,String
16,other_make_of_car,other_make_of_car,String
16,other_colour_of_car,other_car_colour,String
16,other_mot_status,other_mot_status,String
16,other_mot_expiry,other_mot_expiry_date,String
16,other_fuel_type,other_fuel_type,String
16,other_revenue_weight,,Integer
16,other_wheelplan,other_wheelplan,String
16,other_vehicle_last_v5c_issued,other_date_of_last_v5c_issued,String
16,other_registration_number,other_registration_number,String
16,other_month_of_manufacture,other_month_of_first_registration,String
16,other_year_of_manufacture,,Integer
16,other_tax_status,other_tax_status,String
16,other_tax_due_date,other_tax_due_date,String
16,other_co2_emissions,other_co2_emissions,Integer
16,other_engine_capacity,other_engine_capacity,Integer
16,other_type_approval,other_type_approval,String
16,other_marked_for_export,other_marked_for_export,Boolean
16,create_user_id#3,create_user_id,String
17,declaration,declaration,Boolean
,incident_report_id,incident_report_id,Float
,created_at,created_at,Date
,updated_at,updated_at,Date
,auth_code,auth_code,Float
,product_id,product_id,String
,user_id,user_id,Float
,account_status,account_status,String
,emergency_services_number,emergency_services_number,Integer
,emergency_contact_number,emergency_contact_number,Float
,recovery_service_number,recovery_service_number,Float
,legal_support,legal_support,Boolean
,voice_transcription,voice_transcription,Boolean
,form_responses,form_responses,String
,user_licence_plate_number,user_licence_plate_number,String
,better_safe_than_sorry,better_safe_than_sorry,Float
,immediately_for_ambulance,immediately_for_ambulance,Float
,call_and_send_location,call_and_send_location,Float
,move_to_safety,move_to_safety,Float
,call_emergency_services_send_location,call_emergency_services_send_location,Float
,other_vehicles_involved,other_vehicles_involved,Boolean
,all_responses_vehicle,all_responses_vehicle,Float
,usual_vehicle,usual_vehicle,Boolean
,weather_dark,weather_dark,Boolean
,where_did_the_accident_happen,where_did_the_accident_happen,Float
,describe_in_the_accident,describe_in_the_accident,Float
,medical_life_threatening,medical_life_threatening,Boolean
,medical_dizziness,medical_dizziness,Boolean
,medical_recommendation,medical_recommendation,Float
,policy_cover,policy_cover,Float
,mot_status,mot_status,Float
,road_tax,road_tax,Float
,file_content_vehicle_damage,file_content_vehicle_damage,Float
,file_content_documents,file_content_documents,Float
,file_url_record_account,file_url_record_account,Float
,now_active,now_active,String
,help_status,help_status,Float
,vehicle_colour,vehicle_colour,Float
,vehicle_year,vehicle_year,Float
,other_vehicle_colour,other_vehicle_colour,Float
,other_vehicle_year,other_vehicle_year,Float
,dvla_lookup_status,dvla_lookup_status,Float
,dvla_lookup_timestamp,dvla_lookup_timestamp,Float
,special_conditions_new,special_conditions_new,Float
,medical_how_are_feeling,medical_how_are_feeling,String
,image_type,image_type,String
,file_name,file_name,String
,file_id,file_id,String
,retention_until,retention_until,Float
,is_anonymized,is_anonymized,Boolean
,deletion_requested,deletion_requested,Float
,deletion_completed,deletion_completed,Float
,metadata,metadata,String
,uploaded_at,uploaded_at,Date
